movie_id,movie_title,release_year,director,actor
23,Balaraju,1961,Ghantasala Balaramayya,"nageswara_rao_akkineni, Anjali Devi, "
24,Dasara Bullodu,1971,B. A. Subba Rao,"nageswara_rao_akkinenim, Vani Sri, s_v_ranagarao, Anjali Devi"
25,Meghasandesam,1982,Dasari Narayana Rao,"nageswara_rao_akkineni, jaya_sudha, jaya_prada"
26,Dr. Chakravarthy,1964,P. Pullaiah,"nageswara_rao_akkineni, savitri, jamuna, s_v_ranagarao, allu_ramalingaiah"
27,Samsaram,1950,L. V. Prasad,"nageswara_rao_akkineni, sr_ntr, relangi"
28,Tenali Ramakrishna,1956,B. N. Reddy,"nageswara_rao_akkineni, sr_ntr, savitri, jamuna, s_v_ranagarao, relangi, allu_ramalingaiah"
29,Aradhana,1962,V.Madhusudhan rao,"nageswara_rao_akkineni, savitri, relangi, s_v_ranagarao, gummadi"
30,Aha Naa Pellanta,1987,Jandhyala,"rajendra_prasad, Kota Srinivasarao, Rajni, brahmanandham, babu_mohan, gundu_hanumantha_rao"
31,Ladies Tailor,1985,Vamsy,"rajendra_prasad, Archana, Tanikella Bharani, prudhvi_raj, Mallikarjunarao"
32,April 1 Vidudala,1991,Vamsy,"rajendra_prasad, krishna_bhagavan, Shobhana, Rallapalli"
33,Edurinti Mogudu Pakkinti Pellam,1991,relangi Narasimha Rao,"rajendra_prasad, Divya Vani, babu_mohan, Mallikarjun Rao"
34,Appula Apparao,1992,E. V. V. satyanarayana,"rajendra_prasad, Shobhana, brahmanandham, babu_mohan, ali, Tanikella Bharani, "
35,Rajendrudu Gajendrudu,1993,K. Raghavendra Rao,"rajendra_prasad, soundarya, Kota Srinivasarao, ali, babu_mohan, gundu_hanumantha_rao, brahmanandham"
36,Pelli Pustakam,1991,Bapu,"rajendra_prasad, Divya Vani, babu_mohan, Mallikarjun Rao, Subhalekha Sudhakar"
37,Madana Gopaludu,1987,P S krishna Mohan Reddy,"rajendra_prasad, ramya_krishnan, gollapudi_maruthi_rao, brahmanandam,"
38,Aa Naluguru,2004,Chandra siddhartha,"rajendra_prasad, Aamani, kota_srinivasa_rao, Raja, raghu_babu, Chalapathi Rao"
39,Onamalu,2012,Chandra siddhartha,"rajendra_prasad, Kalyani, Chalapathi Rao, Giribabu, raghu_babu, Kondavalasa"
